#
#
#   /$$$$$$  /$$ /$$   /$$               /$$      
#  /$$__  $$| $$|__/  | $$              | $$      
# | $$  \__/| $$ /$$ /$$$$$$    /$$$$$$$| $$$$$$$ 
# | $$ /$$$$| $$| $$|_  $$_/   /$$_____/| $$__  $$
# | $$|_  $$| $$| $$  | $$    | $$      | $$  \ $$
# | $$  \ $$| $$| $$  | $$ /$$| $$      | $$  | $$
# |  $$$$$$/| $$| $$  |  $$$$/|  $$$$$$$| $$  | $$
#  \______/ |__/|__/   \___/   \_______/|__/  |__/
#
# __________________________________________________
# __________________________________________________
#
#
# Glitch AddOn
# by GlitchTrader.com
#
# __________________________________________________
# __________________________________________________
#
#
# key	en-US	pt-BR	es-ES	zh-CN	fr-FR	ru-RU
settings.risk.threshold_off	Off threshold (ratio)	Limite desligar (razão)	Umbral liberar (ratio)	关闭阈值（比率）	Seuil relâchement (ratio)	Порог отключения (доля)
settings.license.title	License	Licença	Licencia	许可证	Licence	Лицензия
settings.license.key	License Key	Chave de Licença	Clave de Licencia	许可证密钥	Clé de Licence	Ключ Лицензии
settings.license.key_placeholder	Enter license key	Digite a chave de licença	Introduce la clave de licencia	输入许可证密钥	Saisir la clé de licence	Введите ключ лицензии
settings.license.paste_placeholder	Paste your license here	Cole sua licença aqui	Pega tu licencia aquí	请在此粘贴许可证	Collez votre licence ici	Вставьте лицензию сюда
settings.button.save	Save Settings	Salvar Configurações	Guardar Configuración	保存设置	Enregistrer les Réglages	Сохранить Настройки
settings.button.validate	Validate License Now	Validar Licença Agora	Validar Licencia Ahora	立即验证许可证	Valider la Licence Maintenant	Проверить Лицензию
settings.feedback.saving	Saving!	Salvando!	¡Guardando!	正在保存…	Enregistrement…	Сохранение…
settings.feedback.validating	Validating, please wait...	Validando, aguarde...	Validando, espere...	正在验证，请稍候…	Validation en cours…	Проверка лицензии…
settings.license.status_format	License Status: {0}, Valid until {1}	Status da Licença: {0}, Válido até {1}	Estado de Licencia: {0}, Válido hasta {1}	许可证状态：{0}，有效期至 {1}	Statut Licence : {0}, Valide jusqu'au {1}	Статус Лицензии: {0}, Действ. до {1}
settings.license.status.active_premium	Active Premium	Premium Ativo	Premium Activo	已激活 Premium	Premium Actif	Актив. Premium
settings.license.status.free_lite	Free Lite	Free Lite	Free Lite	免费 Lite	Free Lite	Free Lite
settings.license.status.grace_premium	Grace Premium	Premium em Graça	Premium en Gracia	Grace Premium	Grace Premium	Grace Premium
settings.license.status.grace_free_lite	Grace Free Lite	Free Lite em Graça	Free Lite en Gracia	Grace Free Lite	Grace Free Lite	Grace Free Lite
settings.license.status.inactive_premium	Inactive Premium	Premium Inativo	Premium Inactivo	未激活 Premium	Premium Inactif	Неакт. Premium
overlay.license_required	License Required	Licença Necessária	Licencia Requerida	需要许可证	Licence Requise	Требуется Лицензия
overlay.premium_gate_message	To enable premium features purchase your license below and validate it in the Settings tab.	Para habilitar recursos premium, compre sua licença abaixo e valide-a na aba Configurações.	Para habilitar funciones premium, compre su licencia abajo y valídela en la pestaña Configuración.	要启用高级功能，请在下方购买许可证并在“设置”选项卡中验证。	Pour activer les fonctionnalités premium, achetez votre licence ci-dessous et validez-la dans l'onglet Réglages.	Чтобы включить премиум, купите лицензию и проверьте её во вкладке Настройки.
overlay.button.get_license	Get License	Obter Licença	Obtener Licencia	获取许可证	Obtenir la Licence	Получить Лицензию
overlay.button.manage_membership	Manage Membership	Gerenciar Assinatura	Gestionar Membresía	管理会员	Gérer l'Abonnement	Управление Подпиской
analytics.button.opened_macro	Opened Nasdaq Macro	Nasdaq Macro aberto	Nasdaq Macro abierto	已打开 Nasdaq Macro	Nasdaq Macro ouvert	Nasdaq Macro открыт
charttrader.metric.followers_compact	Followers:	Seguidores:	Seguidores:	跟随账户：	Suiveurs :	Последователи:
charttrader.metric.pnl_compact	PnL:	PnL:	PnL:	盈亏：	PnL :	PnL:
dashboard.group.select_all_tooltip	Select all followers	Selecionar todos os seguidores	Seleccionar todos los seguidores	选择所有跟随账户	Sélectionner tous les suiveurs	Выбрать всех последователей
overlay.button.go_pro	Go Pro	Ativar Pro	Activar Pro	升级到 Pro	Passer Pro	Перейти на Pro
overlay.button.member_hub	Open Member Hub	Abrir Central do Membro	Abrir Centro de Miembros	打开会员中心	Ouvrir l'Espace Membre	Открыть Кабинет Участника
overlay.journal.go_pro_title	Go Pro for Journal	Ative o Pro para o Journal	Active Pro para el Diario	为日志升级到 Pro	Passez Pro pour le Journal	Перейти на Pro для Журнала
overlay.settings.shortcut_link	Open Settings	Abrir Configurações	Abrir Configuración	打开设置	Ouvrir les Réglages	Открыть Настройки
overlay.settings.shortcut_prefix	Already have a key?	Já tem uma chave?	¿Ya tiene una clave?	已有密钥？	Vous avez déjà une clé ?	Уже есть ключ?
overlay.surface.premium_features	Premium Features	Recursos Premium	Funciones Premium	高级功能	Fonctionnalités Premium	Премиум-Функции
settings.license.active_prefix	Active License:	Licença Ativa:	Licencia Activa:	有效许可证：	Licence Active :	Активная Лицензия:
settings.license.plan_lite	Lite	Lite	Lite	Lite	Lite	Lite
settings.license.plan_pro	Pro	Pro	Pro	Pro	Pro	Pro
settings.license.upgrade_to_pro	Upgrade to Pro	Atualizar para Pro	Actualizar a Pro	升级到 Pro	Passer à Pro	Обновить до Pro
settings.risk.enforce_max_contracts_flatten	Flatten and lock account when open contracts exceed the configured max-contracts limit.	Zerar e bloquear a conta quando os contratos abertos excederem o limite máximo configurado.	Cerrar y bloquear la cuenta cuando los contratos abiertos superen el límite máximo configurado.	当未平仓合约超过配置的最大合约数时，平仓并锁定账户。	Aplatir et verrouiller le compte lorsque les contrats ouverts dépassent la limite maximale configurée.	Закрыть позиции и заблокировать счёт, когда число открытых контрактов превышает заданный максимум.
settings.risk.enforce_no_protection_flatten	Flatten and lock account when an open position has no working protective stop within the configured timeout.	Zerar e bloquear a conta quando uma posição aberta não tiver stop de proteção ativo dentro do prazo configurado.	Cerrar y bloquear la cuenta cuando una posición abierta no tenga un stop de protección activo dentro del plazo configurado.	当持仓在配置的超时时间内没有有效保护止损时，平仓并锁定账户。	Aplatir et verrouiller le compte lorsqu'une position ouverte ne dispose pas d'un stop de protection actif dans le délai configuré.	Закрыть позиции и заблокировать счёт, если у открытой позиции нет активного защитного стопа в заданный срок.
settings.update.available_prefix	Update Available v.	Atualização Disponível v.	Actualización Disponible v.	有可用更新 v.	Mise à Jour Disponible v.	Доступно Обновление v.
settings.update.download_latest	Download Latest	Baixar Mais Recente	Descargar la Última	下载最新版	Télécharger la Dernière	Скачать Последнюю
